window_size,direction,train_f,run_id,data_filter,lodg_opt,targ_var,Treat,job,comb,stat,make_run
3x3,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,1,3x3_0_alldata_biomass_obs_all,0,0
3x3,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,2,3x3_45_alldata_biomass_obs_all,0,0
3x3,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,3,3x3_90_alldata_biomass_obs_all,1,0
3x3,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,4,3x3_135_alldata_biomass_obs_all,1,0
5x5,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,5,5x5_0_alldata_biomass_obs_all,1,0
5x5,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,6,5x5_45_alldata_biomass_obs_all,0,0
5x5,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,7,5x5_90_alldata_biomass_obs_all,0,0
5x5,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,8,5x5_135_alldata_biomass_obs_all,0,0
7x7,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,9,7x7_0_alldata_biomass_obs_all,0,0
7x7,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,10,7x7_45_alldata_biomass_obs_all,0,0
7x7,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,11,7x7_90_alldata_biomass_obs_all,0,0
7x7,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,12,7x7_135_alldata_biomass_obs_all,0,0
15x15,0,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,13,15x15_0_alldata_biomass_obs_all,0,0
15x15,45,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,14,15x15_45_alldata_biomass_obs_all,0,0
15x15,90,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,15,15x15_90_alldata_biomass_obs_all,0,0
15x15,135,0.7,alldata_biomass_obs,alldata,2,biomass_obs,all,16,15x15_135_alldata_biomass_obs_all,0,0
3x3,0,0.7,alldata_N_species,alldata,2,N_species,all,17,3x3_0_alldata_N_species_all,0,1
3x3,45,0.7,alldata_N_species,alldata,2,N_species,all,18,3x3_45_alldata_N_species_all,0,1
3x3,90,0.7,alldata_N_species,alldata,2,N_species,all,19,3x3_90_alldata_N_species_all,0,1
3x3,135,0.7,alldata_N_species,alldata,2,N_species,all,20,3x3_135_alldata_N_species_all,0,1
5x5,0,0.7,alldata_N_species,alldata,2,N_species,all,21,5x5_0_alldata_N_species_all,0,1
5x5,45,0.7,alldata_N_species,alldata,2,N_species,all,22,5x5_45_alldata_N_species_all,0,1
5x5,90,0.7,alldata_N_species,alldata,2,N_species,all,23,5x5_90_alldata_N_species_all,0,1
5x5,135,0.7,alldata_N_species,alldata,2,N_species,all,24,5x5_135_alldata_N_species_all,0,1
7x7,0,0.7,alldata_N_species,alldata,2,N_species,all,25,7x7_0_alldata_N_species_all,0,1
7x7,45,0.7,alldata_N_species,alldata,2,N_species,all,26,7x7_45_alldata_N_species_all,0,1
7x7,90,0.7,alldata_N_species,alldata,2,N_species,all,27,7x7_90_alldata_N_species_all,0,1
7x7,135,0.7,alldata_N_species,alldata,2,N_species,all,28,7x7_135_alldata_N_species_all,0,1
15x15,0,0.7,alldata_N_species,alldata,2,N_species,all,29,15x15_0_alldata_N_species_all,0,1
15x15,45,0.7,alldata_N_species,alldata,2,N_species,all,30,15x15_45_alldata_N_species_all,0,1
15x15,90,0.7,alldata_N_species,alldata,2,N_species,all,31,15x15_90_alldata_N_species_all,0,1
