window_size,direction,band,hbefore,jobid,run
3x3,0,R,16.05.2022,1,T
3x3,45,R,16.05.2022,2,T
3x3,90,R,16.05.2022,3,T
3x3,135,R,16.05.2022,4,T
5x5,0,R,16.05.2022,5,T
5x5,45,R,16.05.2022,6,T
5x5,90,R,16.05.2022,7,T
5x5,135,R,16.05.2022,8,T
7x7,0,R,16.05.2022,9,T
7x7,45,R,16.05.2022,10,T
7x7,90,R,16.05.2022,11,T
7x7,135,R,16.05.2022,12,T
15x15,0,R,16.05.2022,13,T
15x15,45,R,16.05.2022,14,T
15x15,90,R,16.05.2022,15,T
15x15,135,R,16.05.2022,16,T
3x3,0,G,16.05.2022,17,T
3x3,45,G,16.05.2022,18,T
3x3,90,G,16.05.2022,19,T
3x3,135,G,16.05.2022,20,T
5x5,0,G,16.05.2022,21,T
5x5,45,G,16.05.2022,22,T
5x5,90,G,16.05.2022,23,T
5x5,135,G,16.05.2022,24,T
7x7,0,G,16.05.2022,25,T
7x7,45,G,16.05.2022,26,T
7x7,90,G,16.05.2022,27,T
7x7,135,G,16.05.2022,28,T
15x15,0,G,16.05.2022,29,T
15x15,45,G,16.05.2022,30,T
15x15,90,G,16.05.2022,31,T
15x15,135,G,16.05.2022,32,T
3x3,0,B,16.05.2022,33,T
3x3,45,B,16.05.2022,34,T
3x3,90,B,16.05.2022,35,T
3x3,135,B,16.05.2022,36,T
5x5,0,B,16.05.2022,37,T
5x5,45,B,16.05.2022,38,T
5x5,90,B,16.05.2022,39,T
5x5,135,B,16.05.2022,40,T
7x7,0,B,16.05.2022,41,T
7x7,45,B,16.05.2022,42,T
7x7,90,B,16.05.2022,43,T
7x7,135,B,16.05.2022,44,T
15x15,0,B,16.05.2022,45,T
15x15,45,B,16.05.2022,46,T
15x15,90,B,16.05.2022,47,T
15x15,135,B,16.05.2022,48,T
3x3,0,RE,16.05.2022,49,T
3x3,45,RE,16.05.2022,50,T
3x3,90,RE,16.05.2022,51,T
3x3,135,RE,16.05.2022,52,T
5x5,0,RE,16.05.2022,53,T
5x5,45,RE,16.05.2022,54,T
5x5,90,RE,16.05.2022,55,T
5x5,135,RE,16.05.2022,56,T
7x7,0,RE,16.05.2022,57,T
7x7,45,RE,16.05.2022,58,T
7x7,90,RE,16.05.2022,59,T
7x7,135,RE,16.05.2022,60,T
15x15,0,RE,16.05.2022,61,T
15x15,45,RE,16.05.2022,62,T
15x15,90,RE,16.05.2022,63,T
15x15,135,RE,16.05.2022,64,T
3x3,0,NIR,16.05.2022,65,T
3x3,45,NIR,16.05.2022,66,T
3x3,90,NIR,16.05.2022,67,T
3x3,135,NIR,16.05.2022,68,T
5x5,0,NIR,16.05.2022,69,T
5x5,45,NIR,16.05.2022,70,T
5x5,90,NIR,16.05.2022,71,T
5x5,135,NIR,16.05.2022,72,T
7x7,0,NIR,16.05.2022,73,T
7x7,45,NIR,16.05.2022,74,T
7x7,90,NIR,16.05.2022,75,T
7x7,135,NIR,16.05.2022,76,T
15x15,0,NIR,16.05.2022,77,T
15x15,45,NIR,16.05.2022,78,T
15x15,90,NIR,16.05.2022,79,T
15x15,135,NIR,16.05.2022,80,T
3x3,0,R,14.06.2022,1,T
3x3,45,R,14.06.2022,2,T
3x3,90,R,14.06.2022,3,T
3x3,135,R,14.06.2022,4,T
5x5,0,R,14.06.2022,5,T
5x5,45,R,14.06.2022,6,T
5x5,90,R,14.06.2022,7,T
5x5,135,R,14.06.2022,8,T
7x7,0,R,14.06.2022,9,T
7x7,45,R,14.06.2022,10,T
7x7,90,R,14.06.2022,11,T
7x7,135,R,14.06.2022,12,T
15x15,0,R,14.06.2022,13,T
15x15,45,R,14.06.2022,14,T
15x15,90,R,14.06.2022,15,T
15x15,135,R,14.06.2022,16,T
3x3,0,G,14.06.2022,17,T
3x3,45,G,14.06.2022,18,T
3x3,90,G,14.06.2022,19,T
3x3,135,G,14.06.2022,20,T
5x5,0,G,14.06.2022,21,T
5x5,45,G,14.06.2022,22,T
5x5,90,G,14.06.2022,23,T
5x5,135,G,14.06.2022,24,T
7x7,0,G,14.06.2022,25,T
7x7,45,G,14.06.2022,26,T
7x7,90,G,14.06.2022,27,T
7x7,135,G,14.06.2022,28,T
15x15,0,G,14.06.2022,29,T
15x15,45,G,14.06.2022,30,T
15x15,90,G,14.06.2022,31,T
15x15,135,G,14.06.2022,32,T
3x3,0,B,14.06.2022,33,T
3x3,45,B,14.06.2022,34,T
3x3,90,B,14.06.2022,35,T
3x3,135,B,14.06.2022,36,T
5x5,0,B,14.06.2022,37,T
5x5,45,B,14.06.2022,38,T
5x5,90,B,14.06.2022,39,T
5x5,135,B,14.06.2022,40,T
7x7,0,B,14.06.2022,41,T
7x7,45,B,14.06.2022,42,T
7x7,90,B,14.06.2022,43,T
7x7,135,B,14.06.2022,44,T
15x15,0,B,14.06.2022,45,T
15x15,45,B,14.06.2022,46,T
15x15,90,B,14.06.2022,47,T
15x15,135,B,14.06.2022,48,T
3x3,0,RE,14.06.2022,49,T
3x3,45,RE,14.06.2022,50,T
3x3,90,RE,14.06.2022,51,T
3x3,135,RE,14.06.2022,52,T
5x5,0,RE,14.06.2022,53,T
5x5,45,RE,14.06.2022,54,T
5x5,90,RE,14.06.2022,55,T
5x5,135,RE,14.06.2022,56,T
7x7,0,RE,14.06.2022,57,T
7x7,45,RE,14.06.2022,58,T
7x7,90,RE,14.06.2022,59,T
7x7,135,RE,14.06.2022,60,T
15x15,0,RE,14.06.2022,61,T
15x15,45,RE,14.06.2022,62,T
15x15,90,RE,14.06.2022,63,T
15x15,135,RE,14.06.2022,64,T
3x3,0,NIR,14.06.2022,65,T
3x3,45,NIR,14.06.2022,66,T
3x3,90,NIR,14.06.2022,67,T
3x3,135,NIR,14.06.2022,68,T
5x5,0,NIR,14.06.2022,69,T
5x5,45,NIR,14.06.2022,70,T
5x5,90,NIR,14.06.2022,71,T
5x5,135,NIR,14.06.2022,72,T
7x7,0,NIR,14.06.2022,73,T
7x7,45,NIR,14.06.2022,74,T
7x7,90,NIR,14.06.2022,75,T
7x7,135,NIR,14.06.2022,76,T
15x15,0,NIR,14.06.2022,77,T
15x15,45,NIR,14.06.2022,78,T
15x15,90,NIR,14.06.2022,79,T
15x15,135,NIR,14.06.2022,80,T
3x3,0,R,02.08.2022,1,T
3x3,45,R,02.08.2022,2,T
3x3,90,R,02.08.2022,3,T
3x3,135,R,02.08.2022,4,T
5x5,0,R,02.08.2022,5,T
5x5,45,R,02.08.2022,6,T
5x5,90,R,02.08.2022,7,T
5x5,135,R,02.08.2022,8,T
7x7,0,R,02.08.2022,9,T
7x7,45,R,02.08.2022,10,T
7x7,90,R,02.08.2022,11,T
7x7,135,R,02.08.2022,12,T
15x15,0,R,02.08.2022,13,T
15x15,45,R,02.08.2022,14,T
15x15,90,R,02.08.2022,15,T
15x15,135,R,02.08.2022,16,T
3x3,0,G,02.08.2022,17,T
3x3,45,G,02.08.2022,18,T
3x3,90,G,02.08.2022,19,T
3x3,135,G,02.08.2022,20,T
5x5,0,G,02.08.2022,21,T
5x5,45,G,02.08.2022,22,T
5x5,90,G,02.08.2022,23,T
5x5,135,G,02.08.2022,24,T
7x7,0,G,02.08.2022,25,T
7x7,45,G,02.08.2022,26,T
7x7,90,G,02.08.2022,27,T
7x7,135,G,02.08.2022,28,T
15x15,0,G,02.08.2022,29,T
15x15,45,G,02.08.2022,30,T
15x15,90,G,02.08.2022,31,T
15x15,135,G,02.08.2022,32,T
3x3,0,B,02.08.2022,33,T
3x3,45,B,02.08.2022,34,T
3x3,90,B,02.08.2022,35,T
3x3,135,B,02.08.2022,36,T
5x5,0,B,02.08.2022,37,T
5x5,45,B,02.08.2022,38,T
5x5,90,B,02.08.2022,39,T
5x5,135,B,02.08.2022,40,T
7x7,0,B,02.08.2022,41,T
7x7,45,B,02.08.2022,42,T
7x7,90,B,02.08.2022,43,T
7x7,135,B,02.08.2022,44,T
15x15,0,B,02.08.2022,45,T
15x15,45,B,02.08.2022,46,T
15x15,90,B,02.08.2022,47,T
15x15,135,B,02.08.2022,48,T
3x3,0,RE,02.08.2022,49,T
3x3,45,RE,02.08.2022,50,T
3x3,90,RE,02.08.2022,51,T
3x3,135,RE,02.08.2022,52,T
5x5,0,RE,02.08.2022,53,T
5x5,45,RE,02.08.2022,54,T
5x5,90,RE,02.08.2022,55,T
5x5,135,RE,02.08.2022,56,T
7x7,0,RE,02.08.2022,57,T
7x7,45,RE,02.08.2022,58,T
7x7,90,RE,02.08.2022,59,T
7x7,135,RE,02.08.2022,60,T
15x15,0,RE,02.08.2022,61,T
15x15,45,RE,02.08.2022,62,T
15x15,90,RE,02.08.2022,63,T
15x15,135,RE,02.08.2022,64,T
3x3,0,NIR,02.08.2022,65,T
3x3,45,NIR,02.08.2022,66,T
3x3,90,NIR,02.08.2022,67,T
3x3,135,NIR,02.08.2022,68,T
5x5,0,NIR,02.08.2022,69,T
5x5,45,NIR,02.08.2022,70,T
5x5,90,NIR,02.08.2022,71,T
5x5,135,NIR,02.08.2022,72,T
7x7,0,NIR,02.08.2022,73,T
7x7,45,NIR,02.08.2022,74,T
7x7,90,NIR,02.08.2022,75,T
7x7,135,NIR,02.08.2022,76,T
15x15,0,NIR,02.08.2022,77,T
15x15,45,NIR,02.08.2022,78,T
15x15,90,NIR,02.08.2022,79,T
15x15,135,NIR,02.08.2022,80,T
3x3,0,R,14.09.2022,1,T
3x3,45,R,14.09.2022,2,T
3x3,90,R,14.09.2022,3,T
3x3,135,R,14.09.2022,4,T
5x5,0,R,14.09.2022,5,T
5x5,45,R,14.09.2022,6,T
5x5,90,R,14.09.2022,7,T
5x5,135,R,14.09.2022,8,T
7x7,0,R,14.09.2022,9,T
7x7,45,R,14.09.2022,10,T
7x7,90,R,14.09.2022,11,T
7x7,135,R,14.09.2022,12,T
15x15,0,R,14.09.2022,13,T
15x15,45,R,14.09.2022,14,T
15x15,90,R,14.09.2022,15,T
15x15,135,R,14.09.2022,16,T
3x3,0,G,14.09.2022,17,T
3x3,45,G,14.09.2022,18,T
3x3,90,G,14.09.2022,19,T
3x3,135,G,14.09.2022,20,T
5x5,0,G,14.09.2022,21,T
5x5,45,G,14.09.2022,22,T
5x5,90,G,14.09.2022,23,T
5x5,135,G,14.09.2022,24,T
7x7,0,G,14.09.2022,25,T
7x7,45,G,14.09.2022,26,T
7x7,90,G,14.09.2022,27,T
7x7,135,G,14.09.2022,28,T
15x15,0,G,14.09.2022,29,T
15x15,45,G,14.09.2022,30,T
15x15,90,G,14.09.2022,31,T
15x15,135,G,14.09.2022,32,T
3x3,0,B,14.09.2022,33,T
3x3,45,B,14.09.2022,34,T
3x3,90,B,14.09.2022,35,T
3x3,135,B,14.09.2022,36,T
5x5,0,B,14.09.2022,37,T
5x5,45,B,14.09.2022,38,T
5x5,90,B,14.09.2022,39,T
5x5,135,B,14.09.2022,40,T
7x7,0,B,14.09.2022,41,T
7x7,45,B,14.09.2022,42,T
7x7,90,B,14.09.2022,43,T
7x7,135,B,14.09.2022,44,T
15x15,0,B,14.09.2022,45,T
15x15,45,B,14.09.2022,46,T
15x15,90,B,14.09.2022,47,T
15x15,135,B,14.09.2022,48,T
3x3,0,RE,14.09.2022,49,T
3x3,45,RE,14.09.2022,50,T
3x3,90,RE,14.09.2022,51,T
3x3,135,RE,14.09.2022,52,T
5x5,0,RE,14.09.2022,53,T
5x5,45,RE,14.09.2022,54,T
5x5,90,RE,14.09.2022,55,T
5x5,135,RE,14.09.2022,56,T
7x7,0,RE,14.09.2022,57,T
7x7,45,RE,14.09.2022,58,T
7x7,90,RE,14.09.2022,59,T
7x7,135,RE,14.09.2022,60,T
15x15,0,RE,14.09.2022,61,T
15x15,45,RE,14.09.2022,62,T
15x15,90,RE,14.09.2022,63,T
15x15,135,RE,14.09.2022,64,T
3x3,0,NIR,14.09.2022,65,T
3x3,45,NIR,14.09.2022,66,T
3x3,90,NIR,14.09.2022,67,T
3x3,135,NIR,14.09.2022,68,T
5x5,0,NIR,14.09.2022,69,T
5x5,45,NIR,14.09.2022,70,T
5x5,90,NIR,14.09.2022,71,T
5x5,135,NIR,14.09.2022,72,T
7x7,0,NIR,14.09.2022,73,T
7x7,45,NIR,14.09.2022,74,T
7x7,90,NIR,14.09.2022,75,T
7x7,135,NIR,14.09.2022,76,T
15x15,0,NIR,14.09.2022,77,T
15x15,45,NIR,14.09.2022,78,T
15x15,90,NIR,14.09.2022,79,T
15x15,135,NIR,14.09.2022,80,T
3x3,0,R,16.05.2023,1,T
3x3,45,R,16.05.2023,2,T
3x3,90,R,16.05.2023,3,T
3x3,135,R,16.05.2023,4,T
5x5,0,R,16.05.2023,5,T
5x5,45,R,16.05.2023,6,T
5x5,90,R,16.05.2023,7,T
5x5,135,R,16.05.2023,8,T
7x7,0,R,16.05.2023,9,T
7x7,45,R,16.05.2023,10,T
7x7,90,R,16.05.2023,11,T
7x7,135,R,16.05.2023,12,T
15x15,0,R,16.05.2023,13,T
15x15,45,R,16.05.2023,14,T
15x15,90,R,16.05.2023,15,T
15x15,135,R,16.05.2023,16,T
3x3,0,G,16.05.2023,17,T
3x3,45,G,16.05.2023,18,T
3x3,90,G,16.05.2023,19,T
3x3,135,G,16.05.2023,20,T
5x5,0,G,16.05.2023,21,T
5x5,45,G,16.05.2023,22,T
5x5,90,G,16.05.2023,23,T
5x5,135,G,16.05.2023,24,T
7x7,0,G,16.05.2023,25,T
7x7,45,G,16.05.2023,26,T
7x7,90,G,16.05.2023,27,T
7x7,135,G,16.05.2023,28,T
15x15,0,G,16.05.2023,29,T
15x15,45,G,16.05.2023,30,T
15x15,90,G,16.05.2023,31,T
15x15,135,G,16.05.2023,32,T
3x3,0,B,16.05.2023,33,T
3x3,45,B,16.05.2023,34,T
3x3,90,B,16.05.2023,35,T
3x3,135,B,16.05.2023,36,T
5x5,0,B,16.05.2023,37,T
5x5,45,B,16.05.2023,38,T
5x5,90,B,16.05.2023,39,T
5x5,135,B,16.05.2023,40,T
7x7,0,B,16.05.2023,41,T
7x7,45,B,16.05.2023,42,T
7x7,90,B,16.05.2023,43,T
7x7,135,B,16.05.2023,44,T
15x15,0,B,16.05.2023,45,T
15x15,45,B,16.05.2023,46,T
15x15,90,B,16.05.2023,47,T
15x15,135,B,16.05.2023,48,T
3x3,0,RE,16.05.2023,49,T
3x3,45,RE,16.05.2023,50,T
3x3,90,RE,16.05.2023,51,T
3x3,135,RE,16.05.2023,52,T
5x5,0,RE,16.05.2023,53,T
5x5,45,RE,16.05.2023,54,T
5x5,90,RE,16.05.2023,55,T
5x5,135,RE,16.05.2023,56,T
7x7,0,RE,16.05.2023,57,T
7x7,45,RE,16.05.2023,58,T
7x7,90,RE,16.05.2023,59,T
7x7,135,RE,16.05.2023,60,T
15x15,0,RE,16.05.2023,61,T
15x15,45,RE,16.05.2023,62,T
15x15,90,RE,16.05.2023,63,T
15x15,135,RE,16.05.2023,64,T
3x3,0,NIR,16.05.2023,65,T
3x3,45,NIR,16.05.2023,66,T
3x3,90,NIR,16.05.2023,67,T
3x3,135,NIR,16.05.2023,68,T
5x5,0,NIR,16.05.2023,69,T
5x5,45,NIR,16.05.2023,70,T
5x5,90,NIR,16.05.2023,71,T
5x5,135,NIR,16.05.2023,72,T
7x7,0,NIR,16.05.2023,73,T
7x7,45,NIR,16.05.2023,74,T
7x7,90,NIR,16.05.2023,75,T
7x7,135,NIR,16.05.2023,76,T
15x15,0,NIR,16.05.2023,77,T
15x15,45,NIR,16.05.2023,78,T
15x15,90,NIR,16.05.2023,79,T
15x15,135,NIR,16.05.2023,80,T
3x3,0,R,06.06.2023,1,T
3x3,45,R,06.06.2023,2,T
3x3,90,R,06.06.2023,3,T
3x3,135,R,06.06.2023,4,T
5x5,0,R,06.06.2023,5,T
5x5,45,R,06.06.2023,6,T
5x5,90,R,06.06.2023,7,T
5x5,135,R,06.06.2023,8,T
7x7,0,R,06.06.2023,9,T
7x7,45,R,06.06.2023,10,T
7x7,90,R,06.06.2023,11,T
7x7,135,R,06.06.2023,12,T
15x15,0,R,06.06.2023,13,T
15x15,45,R,06.06.2023,14,T
15x15,90,R,06.06.2023,15,T
15x15,135,R,06.06.2023,16,T
3x3,0,G,06.06.2023,17,T
3x3,45,G,06.06.2023,18,T
3x3,90,G,06.06.2023,19,T
3x3,135,G,06.06.2023,20,T
5x5,0,G,06.06.2023,21,T
5x5,45,G,06.06.2023,22,T
5x5,90,G,06.06.2023,23,T
5x5,135,G,06.06.2023,24,T
7x7,0,G,06.06.2023,25,T
7x7,45,G,06.06.2023,26,T
7x7,90,G,06.06.2023,27,T
7x7,135,G,06.06.2023,28,T
15x15,0,G,06.06.2023,29,T
15x15,45,G,06.06.2023,30,T
15x15,90,G,06.06.2023,31,T
15x15,135,G,06.06.2023,32,T
3x3,0,B,06.06.2023,33,T
3x3,45,B,06.06.2023,34,T
3x3,90,B,06.06.2023,35,T
3x3,135,B,06.06.2023,36,T
5x5,0,B,06.06.2023,37,T
5x5,45,B,06.06.2023,38,T
5x5,90,B,06.06.2023,39,T
5x5,135,B,06.06.2023,40,T
7x7,0,B,06.06.2023,41,T
7x7,45,B,06.06.2023,42,T
