"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
1,2022,165,1,1,1,2,NA,0.556,1189.95,0.416075913,0.12399038,0.181015015,0.299293518,0.423744202,0.529483795,0.570411682,0.636734009
1,2022,257,1,2,0,0,NA,0.16,125.57,0.08951072,0.017734175,0.031593323,0.078525543,0.089881897,0.099838257,0.109060669,0.1796875
1,2023,157,1,1,NA,0,13,0.518,593.59,0.476996185,0.076359279,0.237228394,0.442720413,0.481018066,0.520206451,0.56357193,0.68888092
1,2023,265,1,2,NA,2,NA,0.246,350.76,0.208921529,0.033221179,0.034065247,0.192024231,0.207481384,0.225288391,0.247364807,0.323783875
10,2022,165,1,1,0,0,9,0.764,988.84,0.683531246,0.153606983,0.252288818,0.591625214,0.736068726,0.794963837,0.846070862,0.88205719
10,2022,257,1,2,1,0,8,0.154,59.83,0.077297205,0.021622917,0.024887085,0.062004089,0.075328827,0.091573715,0.104270935,0.145896912
10,2023,157,1,1,NA,1,13,0.568,622.15,0.521413406,0.13164284,0.175582886,0.445137024,0.544464111,0.632553101,0.661560059,0.712158203
10,2023,265,1,2,NA,2,11,0.274,308.66,0.205184659,0.032548104,0.140777588,0.180183411,0.20098114,0.228981018,0.246730042,0.326026917
100,2022,136,3,1,1,0,NA,0.428,528.76,0.333264912,0.035176039,0.24671936,0.308412552,0.329994202,0.358201981,0.377992249,0.439239502
100,2022,165,3,2,1,0,NA,0.15,95,0.066966896,0.02894989,0.01008606,0.047615051,0.06438446,0.083641052,0.10292511,0.193557739
100,2022,214,3,3,0,1,NA,0.154,169.52,0.119101137,0.034942744,0.029151917,0.097709656,0.118209839,0.141204834,0.167860413,0.20085907
100,2022,257,3,4,0,0,NA,0.19,164.09,0.161196539,0.02512783,0.097305298,0.143859863,0.15827179,0.177200317,0.195701599,0.229759216
100,2023,136,3,1,NA,0,12,0.462,320.13,0.211094572,0.050843197,0.061012268,0.172294617,0.214584351,0.250524521,0.276500702,0.345191956
100,2023,170,3,2,NA,0,NA,0.158,109.7,0.072245665,0.031128568,0.013206482,0.049293518,0.068756104,0.089622498,0.118193054,0.154304504
100,2023,221,3,3,NA,1,NA,0.268,364.28,0.17134993,0.024717176,0.110557556,0.154785156,0.169906616,0.187824249,0.204681396,0.236282349
100,2023,265,3,4,NA,0,NA,0.164,79.74,0.087841884,0.021673632,0.036201477,0.073112488,0.087501526,0.101257324,0.115800476,0.173469543
